movie_title,imdb_score,duration,color,title_year,Genre_1,language,country,gross,budget,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,movie_facebook_likes,ProfitTurnover,AdjustedGross,AdjustedBudget,Language,Country,TotalFacebooklikes,TitleLength,Generation
Shrek the Third ,6.1,93,Color,2007,Adventure,English,USA,320706665,160000000,50,692,3000,795,0,1.00441665625,320.706665,160,English,USA,4537,16,Boomletes
Warcraft ,7.3,123,Color,2016,Action,English,USA,46978995,160000000,0,648,3000,716,89000,-0.70638128125,46.978995,160,English,USA,93364,9,Boomletes
Terminator Genisys ,6.6,126,Color,2015,Action,English,USA,89732035,155000000,230,2000,24000,10000,82000,-0.4210836451612903,89.732035,155,English,USA,118230,19,Boomletes
The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3,113,Color,2010,Adventure,English,USA,104383624,155000000,150,59,531,82,11000,-0.32655726451612904,104.383624,155,English,USA,11822,57,Boomletes
Pearl Harbor ,6.1,184,Black and White,2001,Action,English,USA,198539855,140000000,0,691,3000,961,0,0.4181418214285714,198.539855,140,English,USA,4652,13,Boomletes
Transformers ,7.1,144,Color,2007,Action,English,USA,318759914,150000000,0,581,662,599,8000,1.1250660933333334,318.759914,150,English,USA,9842,13,Boomletes
Alexander ,5.5,206,Color,2004,Action,English,Germany,34293771,155000000,0,591,12000,11000,0,-0.778749864516129,34.293771,155,English,Non-US,23591,10,Boomletes
Harry Potter and the Order of the Phoenix ,7.5,138,Color,2007,Adventure,English,UK,292000866,150000000,282,687,21000,11000,0,0.94667244,292.000866,150,English,Non-US,32969,42,Boomletes
Harry Potter and the Goblet of Fire ,7.6,157,Color,2005,Adventure,English,UK,289994397,150000000,179,10000,21000,11000,0,0.93329598,289.994397,150,English,Non-US,42179,36,Boomletes
Hancock ,6.4,102,Color,2008,Action,English,USA,227946274,150000000,532,979,10000,9000,0,0.5196418266666667,227.946274,150,English,USA,20511,8,Boomletes
I Am Legend ,7.2,104,Color,2007,Drama,English,USA,256386216,150000000,508,558,10000,1000,11000,0.70924144,256.386216,150,English,USA,23066,12,Boomletes
Charlie and the Chocolate Factory ,6.7,115,Color,2005,Adventure,English,USA,206456431,150000000,13000,588,40000,16000,0,0.37637620666666666,206.456431,150,English,USA,69588,34,Boomletes
Ratatouille ,8,111,Color,2007,Animation,English,USA,206435493,150000000,663,954,1000,1000,10000,0.37623662,206.435493,150,English,USA,13617,12,Boomletes
Batman Begins ,8.3,128,Color,2005,Action,English,USA,205343774,150000000,22000,11000,23000,14000,15000,0.36895849333333336,205.343774,150,English,USA,85000,14,Boomletes
Madagascar: Escape 2 Africa ,6.7,89,Color,2008,Action,English,USA,179982968,150000000,35,436,1000,851,0,0.19988645333333332,179.982968,150,English,USA,2322,28,Boomletes
Night at the Museum: Battle of the Smithsonian ,5.9,105,Color,2009,Adventure,English,USA,177243721,150000000,189,1000,49000,3000,2000,0.18162480666666667,177.243721,150,English,USA,55189,47,Boomletes
X-Men Origins: Wolverine ,6.7,119,Color,2009,Action,English,USA,179883016,150000000,151,2000,20000,16000,0,0.19922010666666667,179.883016,150,English,USA,38151,25,Boomletes
The Matrix Revolutions ,6.7,129,Color,2003,Action,English,Australia,139259759,150000000,0,233,309,269,0,-0.07160160666666666,139.259759,150,English,Non-US,811,23,Boomletes
Frozen ,7.6,102,Color,2013,Adventure,English,USA,400736600,150000000,69,490,1000,523,58000,1.6715773333333332,400.7366,150,English,USA,60082,7,Boomletes
The Matrix Reloaded ,7.2,138,Color,2003,Action,English,USA,281492479,150000000,0,30,234,198,0,0.8766165266666667,281.492479,150,English,USA,462,20,Boomletes
Thor: The Dark World ,7.1,112,Color,2013,Action,English,USA,206360018,170000000,230,12000,26000,20000,63000,0.2138824588235294,206.360018,170,English,USA,121230,21,Boomletes
Mad Max: Fury Road ,8.1,120,Color,2015,Action,English,Australia,153629485,150000000,750,943,27000,9000,191000,0.024196566666666666,153.629485,150,English,Non-US,228693,19,Boomletes
Angels & Demons ,6.7,146,Color,2009,Mystery,English,USA,133375846,150000000,2000,294,15000,745,0,-0.11082769333333334,133.375846,150,English,USA,18039,16,Boomletes
Thor ,7,115,Color,2011,Action,English,USA,181015141,150000000,0,12000,26000,20000,63000,0.20676760666666666,181.015141,150,English,USA,121000,5,Boomletes
Bolt ,6.9,96,Color,2008,Adventure,English,USA,114053579,150000000,59,699,17000,759,0,-0.23964280666666668,114.053579,150,English,USA,18517,5,Boomletes
G-Force ,5.1,88,Color,2009,Action,English,USA,119420252,150000000,12,182,730,607,0,-0.20386498666666666,119.420252,150,English,USA,1531,8,Boomletes
Wrath of the Titans ,5.8,99,Color,2012,Action,English,USA,83640426,150000000,473,502,14000,897,19000,-0.44239716,83.640426,150,English,USA,34872,20,Boomletes
Dark Shadows ,6.2,113,Color,2012,Comedy,English,USA,79711678,100000000,13000,16000,40000,17000,82000,-0.20288322,79.711678,100,English,USA,168000,13,Boomletes
Mission: Impossible - Rogue Nation ,7.4,131,Color,2015,Action,English,China,195000874,150000000,188,641,10000,10000,47000,0.30000582666666664,195.000874,150,English,Non-US,67829,35,Boomletes
The Wolfman ,5.8,119,Color,2010,Drama,English,USA,61937495,150000000,394,162,12000,490,0,-0.5870833666666667,61.937495,150,English,USA,13046,12,Boomletes
The Legend of Tarzan ,6.6,110,Color,2016,Action,English,USA,124051759,180000000,282,103,11000,10000,29000,-0.3108235611111111,124.051759,180,English,USA,50385,21,Boomletes
Bee Movie ,6.2,91,Color,2007,Adventure,English,USA,126597121,150000000,58,826,2000,852,0,-0.15601919333333333,126.597121,150,English,USA,3736,10,Boomletes
Kung Fu Panda 2 ,7.3,90,Color,2011,Action,English,USA,165230261,150000000,90,15,11000,10000,20000,0.10153507333333334,165.230261,150,English,USA,41105,16,Boomletes
The Last Airbender ,4.2,103,Color,2010,Action,English,USA,131564731,150000000,0,346,1000,756,18000,-0.12290179333333333,131.564731,150,English,USA,20102,19,Boomletes
Mission: Impossible III ,6.9,124,Color,2006,Action,English,USA,133382309,150000000,14000,979,22000,10000,0,-0.11078460666666666,133.382309,150,English,USA,46979,24,Boomletes
White House Down ,6.4,131,Color,2013,Action,English,USA,73103784,150000000,776,256,17000,551,33000,-0.51264144,73.103784,150,English,USA,51583,17,Boomletes
Mars Needs Moms ,5.4,88,Color,2011,Action,English,USA,21379315,150000000,25,433,921,562,0,-0.8574712333333333,21.379315,150,English,USA,1941,16,Boomletes
Flushed Away ,6.7,85,Color,2006,Adventure,English,UK,64459316,149000000,42,586,20000,14000,0,-0.5673871409395973,64.459316,149,English,Non-US,34628,13,Boomletes
Pan ,5.8,111,Color,2015,Adventure,English,USA,34964818,150000000,456,394,20000,548,24000,-0.7669012133333334,34.964818,150,English,USA,45398,4,Boomletes
Mr. Peabody & Sherman ,6.9,92,Color,2014,Adventure,English,USA,111505642,145000000,50,517,3000,1000,11000,-0.2309955724137931,111.505642,145,English,USA,15567,22,Boomletes
Troy ,7.2,196,Color,2004,Adventure,English,USA,133228348,175000000,249,844,11000,5000,0,-0.23869515428571428,133.228348,175,English,USA,17093,5,Boomletes
Madagascar 3: Europe's Most Wanted ,6.9,93,Color,2012,Adventure,English,USA,216366733,145000000,35,436,851,770,17000,0.4921843655172414,216.366733,145,English,USA,19092,35,Boomletes
Die Another Day ,6.1,133,Black and White,2002,Action,English,UK,160201106,142000000,93,746,769,766,0,0.12817680281690141,160.201106,142,English,Non-US,2374,16,Boomletes
Ghostbusters ,5.5,116,Color,2016,Action,English,USA,118099659,144000000,176,322,783,370,62000,-0.17986347916666667,118.099659,144,English,USA,63651,13,Boomletes
Armageddon ,6.6,153,Color,1998,Action,English,USA,201573391,140000000,0,537,13000,12000,11000,0.4398099357142857,201.573391,140,English,USA,36537,11,Millenium
Men in Black II ,6.1,88,Color,2002,Action,English,USA,190418803,140000000,188,826,10000,3000,2000,0.36013430714285716,190.418803,140,English,USA,16014,16,Boomletes
Beowulf ,6.3,115,Color,2007,Action,English,USA,82161969,150000000,0,964,18000,12000,3000,-0.45225354,82.161969,150,English,USA,33964,8,Boomletes
Kung Fu Panda 3 ,7.2,95,Color,2016,Action,English,USA,143523463,145000000,5,967,24000,11000,24000,-0.010183013793103449,143.523463,145,English,USA,59972,16,Boomletes
Mission: Impossible - Ghost Protocol ,7.4,133,Color,2011,Action,English,USA,209364921,145000000,663,690,10000,10000,35000,0.44389600689655173,209.364921,145,English,USA,56353,37,Boomletes
Rise of the Guardians ,7.3,97,Color,2012,Adventure,English,USA,103400692,145000000,52,161,20000,315,25000,-0.2868917793103448,103.400692,145,English,USA,45528,22,Boomletes
Fun with Dick and Jane ,6.1,90,Color,2005,Comedy,English,USA,110332737,100000000,23,233,957,550,2000,0.10332737,110.332737,100,English,USA,3763,23,Boomletes
The Last Samurai ,7.7,154,Color,2003,Action,English,USA,111110575,140000000,380,445,10000,956,0,-0.2063530357142857,111.110575,140,English,USA,11781,17,Boomletes
Exodus: Gods and Kings ,6.1,150,Color,2014,Action,English,UK,65007045,140000000,0,748,23000,893,51000,-0.5356639642857143,65.007045,140,English,Non-US,75641,23,Boomletes
Star Trek ,8,127,Color,2009,Action,English,USA,257704099,150000000,14000,981,26000,12000,19000,0.7180273266666667,257.704099,150,English,USA,71981,10,Boomletes
Spider-Man ,7.3,121,Color,2002,Action,English,USA,403706375,139000000,0,4000,24000,11000,5000,1.9043624100719425,403.706375,139,English,USA,44000,11,Boomletes
How to Train Your Dragon 2 ,7.9,102,Color,2014,Action,English,USA,176997107,145000000,255,953,18000,3000,46000,0.22066970344827586,176.997107,145,English,USA,68208,27,Boomletes
Gods of Egypt ,5.5,126,Color,2016,Action,English,USA,31141074,140000000,295,284,18000,934,24000,-0.7775637571428572,31.141074,140,English,USA,43513,14,Boomletes
Stealth ,5,121,Color,2005,Action,English,USA,31704416,135000000,357,653,820,780,0,-0.765152474074074,31.704416,135,English,USA,2610,8,Boomletes
Watchmen ,7.7,215,Color,2009,Action,English,USA,107503316,130000000,0,413,986,745,18000,-0.17305141538461538,107.503316,130,English,USA,20144,9,Boomletes
Lethal Weapon 4 ,6.6,127,Color,1998,Action,English,USA,129734803,140000000,503,91,5000,808,0,-0.07332283571428572,129.734803,140,English,USA,6402,16,Millenium
